,0
1,"
テレビが壊れたと聞いたので、しばらくの間に持てばいいかな、ぐらいの感覚でテレビを両親に送りました

傷は多少あるけれど作動にはなんの問題もないとの事で買ったのですが(写真もアップされていました)
届いたら背面は割れて画面には真ん中に縦線が入っていたとのこと
ヤマト運輸さんは直ぐに対応してくれて電話もいただいたのですが、メルカリは定型文でしか返信がなく
それも2日経ってからやっとの返信でした
実家に送ったので写真もすぐには取れず泣く泣く諦めました
粗大ゴミを購入したつもりは無かったのでガッカリです

対応悪いので中古の家電の購入は控えた方が良いと思います。
"
2,"
過去に何度もトラブル。悪質ユーザーによる粗悪品の発送や、配送業者ヤマトによる誤配。また虚偽の商品、いわゆる違法商品を販売しているユーザーを野放し。以上のトラブルを事務局に伝えても何ら対応、対処しないクソ運営ですよ。
補填等も無く、優良ユーザーは泣き寝入りし、悪質ユーザーが横行するアプリ。
一概に杜撰で怠惰なクソ運営が原因ですがね。
悪質ユーザー取り締まり、配送業者や配送専用boxの販売も杜撰、トラブルにも時間がかかり、結果被害ユーザーが泣き寝入りする始末。
電話での問い合わせもできない時点でいかがわしいアプリです。
新しくはじめようとしている方は是非やめて下さい！
"
3,"
出品者側です。送った商品に不具合有りと事務局経由て連絡入る。こちらも非を認め値引きとなりました。ここで事務局側が提案の購入者側への返金システム。これは絶対損するのでやめてください❕事務局側で取り引き完了させ、その売り上げより返金されるので、手取りが無くなります❕購入後に値引きする場合、購入者側と話し合い、減額後の再出品をし、それを購入して貰い、当初の取り引きをキャンセルする方法。送料もチャラにらるし手数料も減る。絶対にこの方法で行ってください。メルカリの事務局は通さないよう注意❗奴らは利益にどん欲です🎵事務処理はどんと来い精神なので何を返信しようが事務処理にしか思っていません。時間の無駄です❗こんな事務処理のための手数料ならメルカリの手数料は高いとみんなで声を挙げましょう🎵
"
4,"
メルカリでよくブランド品を出品すると
訳のわからぬ理由で削除、利用制限がかかります。
しかし、出品されてる品を見るとあちこちにどう見ても偽物や
あり得ない内容（価格）での出品が多数見受けられます。
中には既に購入されてる品もあり、、、経過を追うと削除になっています。（取引途中でトラブルがあったか、偽物と判明か）
それらを踏まえると、そもそもメルカリの判断（真贋）が全く出来ていない。素人の判断、更に言えば匙加減でしょう。
偽物商品への取り締まりを強化してるのでしょうがそもそも真贋出来ない人が判断してるなら意味ありません。
いい加減なサイトなのだとつくづく思います。

信頼を失いやがては人も離れて過疎化サイトになるでしょうね。
"
5,"
このメルカリはやめた方がいいですね。判断基準、マニュアルが狂っています。
迷惑行為を行なっていないのにも関わらず「迷惑行為」という内容を送らないでいただきたい。
過去一度足りとも取引に関してトラブルを起こしていませんが、このメルカリという企業へ
個人の取引情報を元にしてもお聞きしたいものです。

多少不便になろうとこちらから喜んで退会させて頂きました。
「良いところ」
過去、色々と御役立ち出来る御商品を取り引きさせていただいた出品者様、落札者様お世話になりありがとうございました。
"
6,"
良い点は、子供用品が安く売買されていることです。

怖い点は、口コミを読んで知ったのですが、退会後も個人情報は、メルカリ本部から削除されないという点です。
退会しても自分のマイナンバーや顔写真、住所や生年月日が、いつまでもメルカリに残り、削除する方法はなく、流出する可能性があるのは怖いです。その点を柔軟な方法に変えてもらえればバッチリと感じました。
"
7,"
出品者の、自分ルールの押し付けが酷く…
気持ちの良い取り引きが出来なかったので、やむなく悪い評価をつけたら、評価変更しろと脅してきて…
メルカリに相談したら、あっさり評価削除しました。
出品者には、少しのペナルティだけ。
評価は、変更削除しないと規約にもあるのに。
"
8,"
本当に適当が過ぎます！
出品者が荷物送らないと
問い合わせても
事務局がキャンセル返金します。の
適当な対応
口座登録したり凄い手間です
なのに
出品者の方は一週間程度の利用停止だけ
購入者損
コンビニ支払いして
メルカリに口座番号や身分証明まで
登録させられて
本当に頭にきます
1度だけならともかく
何度もあると本当頭にくる
"
9,"
メルカリを利用していたが、商品の購入者の攻撃が酷かった。メルカリ事務局にもきちんと対応してもらえず不信感でしかなかった。
メルカリは個人の取引になるが、酷い人に当たったら終わり。
皆さんの口コミを見て納得。
変な言いがかりを言われたら泣き寝入りするしかない。退会者が出るのも理解できる。
申し訳ないが、良いところが書けず残念だ。
"
10,"
購入者としては２年以上、出品者としては１年半ほど利用しました。

購入者の立場からすると、品物の善し悪しを自己責任で判断できれば掘り出し物が入手できる等、便利でした。
出品に関しても、予想外に色々な物が売れて１年半ほどでトータル１５万円程度の利益を上げました。小遣い稼ぎには丁度良かったです。

しかし、運営が本当にひどすぎる。

２０２３年１月３１日、突然何の警告も無く出品の利用制限がかかりました。
理由は「本人確認」という手続きを済ませていなかったためです。
アカウントを開設した当初、この手続きは「任意」のものであったこと、またセキュリティの観点から私はこの手続きはそれ程重要なものでは無いと思っていました。

とは言え制限があっては不便だと思い、免許を持っていないため保険証にて手続きを行いました。しかしそれは不承認、理由は「期限が切れているため」とのことでした。
私は持病のため通院しているのですが、保険証は問題なく使用できています。にも関わらずメルカリでは独自のルールとして保険証に期限を設けているのです。

結果として私は、一切やましいことはしておらず、また規約違反の出品をしているわけでもないにも関わらず、ペナルティを犯した「規約違反者」として運営から扱われています。

この本人確認を巡っての利用制限についてネットで調べてみたところ、本人確認がなかなか承認されず、その間売上金を振り込み申請することが出来ず、結果的に数十万単位の売上金が失効になったという事例があったことを知りました。

免許が無く、マイナンバーカードを発行していなかった私にも落ち度はあると思いますし、本人確認をするためにマイナンバーカードの手続きは早急に行いました。しかしカードの発行には早くとも１ヶ月はかかるとのこと。売上金が失効されるまでの間に届くかどうか、届いたとしてもまた不承認になってしまうのではないか…。
現時点で私にも数万円の売上金があり、振り込み申請まで制限されては洒落にならないと思い、申請の手続きをしました。却下されないか不安で仕方ありません。

メルカリはあくまで取引を仲介しているに過ぎず、そこで発生した売上金は出品者に支払われなくてはならないはずです。義務化されてはいない本人確認をしていないということを理由に売上金の未払いが起こってよいのか甚だ疑問です。
よしんば本人確認が規約上義務化されたのならそのことは前もって通知するべきだし、いきなり制限を掛けるのは乱暴の極みだと思います。
そもそもメルカリは数年前に個人情報を漏洩させたという事実があるにもかかわらず、なぜ利用者の個人情報の収集に固執するのか。本当に不愉快な思いでいます。
"
